ประทับเวลา,คุณเป็นเพศอะไร,คุณกำลังศึกษาอยู่ในสถาบันเจ้าคุณทหารลาดกระบังหรือไม่,กำลังศึกษาอยู่ชั้นปีการศึกษาใดในมหาวิทยาลัย,คณะที่คุณกำลังศึกษาอยู่ในขณะนี้,GPA ขณะกำลังศึกษาอยู่ปัจจุบัน ( เกรดรวม ),สายการเรียนตอนมัธยมปลาย,คุณเข้ามหาลัยด้วยวิธีแบบใด,คุณจบการศึกษาระดับมัธยมปลายปี พ.ศ.ใด,GPA ในระดับชั้นมัธยมปลาย,คะแนน O-net วิชาภาษาไทย ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาคณิตศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาวิทยาศาสตร์ ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาสังคมศึกษา ระดับชั้นมัธยมศึกษาปีที่ 6,คะแนน O-net วิชาภาษาอังกฤษ ระดับชั้นมัธยมศึกษาปีที่ 6,ความสามารถที่คุณคิดว่าตัวเองมี(ตอบได้มากกว่า 1 ข้อ),วิชาที่ถนัดในการเรียนมัธยมปลายมีอะไรบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าคุณถนัดทักษะแบบไหนบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณคิดว่าทักษะไหนเป็นปัญหากับคุณบ้าง(ตอบได้มากกว่า 1 ข้อ),คุณสนใจทางด้านไหนบ้าง (ตอบได้มากกว่า 1 ข้อ),คุณเคยเข้าร่วมกิจกรรมของโรงเรียนเมื่อคุณยังศึกษาอยู่ในระดับมัธยมหรือไม่,คุณเคยแข่งขันทางวิชาการในช่วงมัธยมหรือไม่,คุณเคยลงเข้าร่วมกิจกรรมการเเข่งขันวิชาการ กลุ่มสาระใดบ้าง,ข้อเสนอแนะ
4/18/2021 1:11:36,หญิง,กำลังศึกษา,ปี 3,สถาปัตยกรรมศาสตร์,2.9,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"มีความอดทน, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านศิลปะ, ด้านภาษา, ด้านกีฬา","ฟัง, เขียน, คิดคำนวณ",พูด,"ศิลปะ, การบันเทิง, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
4/18/2021 1:12:45,ชาย,กำลังศึกษา,ปี 3,แพทยศาสตร์,3.09,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,60.01 - 80.00,80.01 - 100,60.01 - 80.00,80.01 - 100,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านงานฝีมือ","ฟัง, คิดวิเคราะห์, คิดคำนวณ","อ่าน, เขียน","การศึกษา, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/18/2021 1:13:38,หญิง,กำลังศึกษา,ปี 4,วิศวกรรมศาสตร์,2.84,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, ชอบการทดลอง, ความเป็นผู้นำ, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านกีฬา","ฟัง, อ่าน, เขียน, คิดคำนวณ",พูด,"การเมือง, การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/18/2021 1:14:28,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,2.87,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านงานฝีมือ, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ","พูด, อ่าน, เขียน","การศึกษา, ศิลปะ, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/18/2021 1:16:21,ชาย,กำลังศึกษา,ปี 4,อุตสาหกรรมการเกษตร,3.05,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, ความเป็นผู้นำ, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านภาษา, ด้านกีฬา","ฟัง, อ่าน, คิดวิเคราะห์","พูด, คิดวิเคราะห์","เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
4/18/2021 1:18:17,หญิง,กำลังศึกษา,ปี 1,วิทยาลัยการบริหารและจัดการ,2.76,ศิลป์-ทั่วไป,"สอบเข้าระบบ tcas , admission , รับตรง",63,2.51 - 3.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,"ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน, ตรงต่อเวลา",ด้านภาษา,"ฟัง, เขียน","พูด, คิดวิเคราะห์","การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
4/18/2021 1:20:25,ชาย,กำลังศึกษา,ปี 2,ครุศาสตร์อุตสาหกรรม,3.58,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"มีความอดทน, ความมั่นใจในตัวเอง, หมั่นฝึกฝน, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านกีฬา","ฟัง, พูด, อ่าน, คิดคำนวณ",อ่าน,"การศึกษา, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/18/2021 1:22:21,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.24,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, ทำงานเป็นกลุ่มได้ดี, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านกีฬา","ฟัง, เขียน, คิดคำนวณ",พูด,"การเมือง, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/18/2021 1:42:48,หญิง,กำลังศึกษา,ปี 1,สถาปัตยกรรมศาสตร์,3.34,ศิลป์-ทั่วไป,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,60.01 - 80.00,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ความมั่นใจในตัวเอง","ด้านศิลปะ, ด้านภาษา, ด้านกีฬา, ด้านงานฝีมือ","ฟัง, พูด, อ่าน, เขียน, คิดวิเคราะห์",คิดคำนวณ,"ศิลปะ, การบันเทิง, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
4/18/2021 1:44:17,ชาย,จบการศึกษาแล้ว,บัณฑิต,วิทยาศาสตร์,2.69,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",58,2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, หมั่นฝึกฝน","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","พูด, คิดวิเคราะห์, คิดคำนวณ","ฟัง, อ่าน, เขียน","การศึกษา, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/18/2021 1:45:20,ชาย,กำลังศึกษา,ปี 3,วิศวกรรมศาสตร์,2.87,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ความเป็นผู้นำ","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านงานฝีมือ","เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน","การศึกษา, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระศิลปะ เช่น เข้าร่วมชมรมนาฏศิลป์ , ประกวดวงดนตรี (folk songs)",
4/18/2021 1:47:08,หญิง,กำลังศึกษา,ปี 3,ครุศาสตร์อุตสาหกรรม,3.14,ศิลป์-ภาษา ( เช่น จีน ฝรั่งเศส ญี่ปุ่น),"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,60.01 - 80.00,60.01 - 80.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ความเป็นผู้นำ, ความมั่นใจในตัวเอง","ด้านศิลปะ, ด้านภาษา, ด้านกีฬา, ด้านงานฝีมือ, ด้านสังคม","ฟัง, พูด, อ่าน, เขียน","คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การบันเทิง, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
4/18/2021 1:48:38,หญิง,กำลังศึกษา,ปี 3,วิทยาศาสตร์,2.45,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,2.51 - 3.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,"มีความอดทน, สร้างสรรค์สิ่งใหม่, ความเป็นผู้นำ, ตรงต่อเวลา","ด้านศิลปะ, ด้านภาษา, ด้านกีฬา, ด้านสังคม","ฟัง, พูด, อ่าน","เขียน, คิดวิเคราะห์, คิดคำนวณ","ศิลปะ, การเมือง, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/18/2021 1:50:48,หญิง,กำลังศึกษา,ปี 1,อุตสาหกรรมการเกษตร,2.78,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง","ด้านวิทยาศาสตร์, ด้านงานฝีมือ, ด้านสังคม","พูด, คิดวิเคราะห์, คิดคำนวณ","ฟัง, อ่าน, เขียน","การศึกษา, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/18/2021 1:52:10,หญิง,กำลังศึกษา,ปี 1,วิศวกรรมศาสตร์,2.75,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, สร้างสรรค์สิ่งใหม่, ความมั่นใจในตัวเอง","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านงานฝีมือ, ด้านคอมพิวเตอร์","เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน","การศึกษา, เทคโนโลยี, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/19/2021 4:29:13,หญิง,กำลังศึกษา,ปี 3,ศิลปศาสตร์,2.97,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,"ชอบการทดลอง, สร้างสรรค์สิ่งใหม่","ด้านกีฬา, ด้านงานฝีมือ","ฟัง, อ่าน","พูด, เขียน, คิดวิเคราะห์","ศิลปะ, การบันเทิง, สิ่งแวดล้อม",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking, กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/19/2021 10:15:14,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.12,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ",พูด,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/20/2021 12:58:06,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.12,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ",พูด,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/20/2021 21:43:02,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.12,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ",พูด,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/21/2021 11:17:31,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.12,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ",พูด,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/21/2021 18:18:32,ชาย,กำลังศึกษา,ปี 3,วิทยาศาสตร์,3.12,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,"ความรอบคอบ, การวิเคราะห์, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","ฟัง, คิดวิเคราะห์, คิดคำนวณ",พูด,"การบันเทิง, เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/21/2021 18:20:38,ชาย,กำลังศึกษา,ปี 3,วิศวกรรมศาสตร์,2.43,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, การวิเคราะห์, ความเป็นผู้นำ, ความมั่นใจในตัวเอง","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านกีฬา, ด้านสังคม, ด้านคอมพิวเตอร์","เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด","การเมือง, เทคโนโลยี, สิ่งแวดล้อม",ไม่เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/22/2021 23:41:06,หญิง,กำลังศึกษา,ปี 1,ครุศาสตร์อุตสาหกรรม,3.05,ศิลป์-ทั่วไป,"สอบเข้าระบบ tcas , admission , รับตรง",62,3.01 - 3.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,80.01 - 100,"ความมั่นใจในตัวเอง, ติดตามข่าวสารใหม่ๆตลอด, หมั่นฝึกฝน","ด้านศิลปะ, ด้านภาษา, ด้านงานฝีมือ, ด้านสังคม","ฟัง, พูด, อ่าน","เขียน, คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
4/23/2021 0:15:51,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,2.9,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, การวิเคราะห์","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านงานฝีมือ, ด้านคอมพิวเตอร์","เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน","เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,กลุ่มสาระคณิตศาสตร์ เช่น การร่วมแข่งขันซูดูกุคิดเลขเร็ว,
4/23/2021 0:39:41,หญิง,กำลังศึกษา,ปี 4,ครุศาสตร์อุตสาหกรรม,59,ศิลป์-ทั่วไป,"สอบเข้าระบบ tcas , admission , รับตรง",59,3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,"ความรอบคอบ, มีความอดทน, หมั่นฝึกฝน, ตรงต่อเวลา","ด้านศิลปะ, ด้านภาษา, ด้านสังคม","ฟัง, พูด, อ่าน, เขียน","คิดวิเคราะห์, คิดคำนวณ","การศึกษา, ศิลปะ, การบันเทิง, เทคโนโลยี, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/23/2021 0:47:46,หญิง,กำลังศึกษา,ปี 2,วิศวกรรมศาสตร์,3.5,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.01 - 3.50,40.01 - 60.00,80.01 - 100,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,"ความรอบคอบ, มีความอดทน, ชอบการทดลอง, การวิเคราะห์, หมั่นฝึกฝน","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","เขียน, คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน","การศึกษา, ศิลปะ, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/23/2021 0:53:16,ชาย,กำลังศึกษา,ปี 4,วิศวกรรมศาสตร์,3.05,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.51 - 4.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,"ความรอบคอบ, ความเป็นผู้นำ, ความมั่นใจในตัวเอง, ตรงต่อเวลา","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านภาษา, ด้านกีฬา","เขียน, คิดวิเคราะห์",พูด,"ศิลปะ, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/23/2021 0:55:39,หญิง,กำลังศึกษา,ปี 1,เทคโนโลยีการเกษตร,2.78,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",63,2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,"มีความอดทน, ชอบการทดลอง, การวิเคราะห์","ด้านวิทยาศาสตร์, ด้านศิลปะ, ด้านงานฝีมือ","ฟัง, พูด, อ่าน","เขียน, คิดวิเคราะห์","เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
4/23/2021 0:55:55,หญิง,กำลังศึกษา,ปี 1,วิศวกรรมศาสตร์,3.06,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"ชอบการทดลอง, หมั่นฝึกฝน, ตรงต่อเวลา, บริหารเวลาได้ดี","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านคอมพิวเตอร์","คิดวิเคราะห์, คิดคำนวณ","ฟัง, พูด, อ่าน","เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ",เคยเข้าร่วม,เคย,"กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
4/23/2021 0:57:57,หญิง,กำลังศึกษา,ปี 1,วิศวกรรมศาสตร์,2.55,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",62,2.51 - 3.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,60.01 - 80.00,"ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านวิทยาศาสตร์, ด้านคณิตศาสตร์, ด้านกีฬา, ด้านงานฝีมือ, ด้านสังคม","ฟัง, พูด, อ่าน","เขียน, คิดวิเคราะห์, คิดคำนวณ","การเมือง, การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,ไม่เคย,ไม่เคยเข้าร่วม,
4/23/2021 0:58:35,ชาย,กำลังศึกษา,ปี 3,เทคโนโลยีสารสนเทศ,3.82,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",61,3.51 - 4.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,80.01 - 100,"ความเป็นผู้นำ, หมั่นฝึกฝน, ตรงต่อเวลา","ด้านศิลปะ, ด้านภาษา","พูด, อ่าน, คิดคำนวณ",คิดวิเคราะห์,"การบันเทิง, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระภาษาต่างประเทศ เช่น การร่วมเเข่งขันการเเสดงภาษาอังกฤษ ,speaking",
4/23/2021 1:00:57,หญิง,กำลังศึกษา,ปี 3,วิศวกรรมศาสตร์,3.6,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,"ความมั่นใจในตัวเอง, ทำงานเป็นกลุ่มได้ดี, ติดตามข่าวสารใหม่ๆตลอด","ด้านภาษา, ด้านกีฬา, ด้านงานฝีมือ","พูด, อ่าน, เขียน","อ่าน, เขียน, คิดวิเคราะห์","เทคโนโลยี, สิ่งแวดล้อม, สุขภาพ, ไม่สนใจที่กล่าวมา",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน, กลุ่มสาระวิทยาศาสตร์ เช่น การเเข่งขันฟิสิกส์ประยุกต์ ,",
4/23/2021 1:03:01,หญิง,กำลังศึกษา,ปี 3,สถาปัตยกรรมศาสตร์,3.25,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",60,3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,"ความรอบคอบ, ความเป็นผู้นำ, ตรงต่อเวลา","ด้านศิลปะ, ด้านงานฝีมือ","เขียน, คิดคำนวณ","พูด, อ่าน","ศิลปะ, เทคโนโลยี",เคยเข้าร่วม,เคย,"กลุ่มสาระสุขศึกษา  เช่น  การร่วมแข่งขันบาสเกตบอล ,ฟุตบอล ,วอลเลย์บอล ,แบดมินตัน",
